origin,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
1,0.1063,0.1189,0.1191,0.1094,0.0966,0.1034,0.1074,0.1064,0.0953,0.0952,0.0967,0.0982,0.091,0.0703,0.0597,0.0416
2,-0.1323,-0.1275,-0.1262,-0.1304,-0.138,-0.1304,-0.1264,-0.1259,-0.1291,-0.1296,-0.1306,-0.1294,-0.1338,-0.1396,-0.139,-0.141
3,0.0764,0.087,0.0873,0.0838,0.0827,0.0989,0.1041,0.1067,0.0963,0.0936,0.0917,0.0929,0.0858,0.0772,0.0746,0.0706
4,0.0465,0.0513,0.0543,0.0519,0.0574,0.0689,0.0733,0.0726,0.0666,0.0595,0.0555,0.0525,0.0424,0.0338,0.0325,0.0287
5,-0.0771,-0.0767,0.0045,0.0211,0.0337,0.0593,0.0667,0.0697,0.0614,0.0561,0.0524,0.0542,0.0436,0.0352,0.0289,0.0293
6,-0.1255,-0.1274,-0.058,-0.0378,-0.026,-0.0017,0.0053,0.0093,0.0042,0.0026,0.0014,0.0001,-0.0118,-0.0146,-0.0185,-0.0191
7,-0.0895,-0.0819,-0.0113,0.0028,0.0124,0.0363,0.0482,0.0543,0.0454,0.0459,0.0476,0.0488,0.0357,0.0332,0.0281,0.0285
8,-0.1129,-0.105,-0.0329,-0.0099,0.0083,0.05,0.0609,0.0671,0.0619,0.0617,0.0606,0.0561,0.0392,0.0361,0.0321,0.0318
9,-0.0977,-0.0858,-0.0303,-0.0111,0.0028,0.0439,0.0544,0.0632,0.0577,0.0651,0.0689,0.0709,0.0606,0.0599,0.0567,0.0545
10,-0.0778,-0.0766,-0.003,0.0088,0.0195,0.0339,0.0363,0.0373,0.03,0.0262,0.0238,0.0199,0.0069,0.0075,0.0061,0.0096
11,-0.1628,-0.1575,-0.1571,-0.1567,-0.1701,-0.1795,-0.1775,-0.1748,-0.1746,-0.1745,-0.1745,-0.1694,-0.1676,-0.1661,-0.1664,-0.1658
12,0.256,0.2649,0.2622,0.2609,0.2494,0.2393,0.2365,0.2337,0.2236,0.2199,0.2159,0.2158,0.2136,0.213,0.2119,0.2092
13,0.145,0.1673,0.1776,0.1854,0.1834,0.1864,0.1946,0.2055,0.2082,0.2195,0.2302,0.2438,0.2532,0.2527,0.2473,0.2338
14,0.104,0.1109,0.1057,0.104,0.1015,0.0959,0.0951,0.0939,0.0841,0.0836,0.0812,0.0828,0.0838,0.082,0.0779,0.0742
15,0.0908,0.1006,0.0973,0.095,0.0929,0.0959,0.0981,0.0979,0.0862,0.0838,0.0812,0.0807,0.0785,0.0755,0.0735,0.0705
16,0.0823,0.0919,0.0897,0.0933,0.0972,0.1266,0.1341,0.1399,0.1325,0.1347,0.135,0.1383,0.1308,0.1296,0.1266,0.1217
