origin,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
1,0.11004062982017726,0.09007142958869507,0.1288933623571742,0.11441889830563712,-0.03378203351441622,0.22224748422346385,0.11224137642798526,0.19794019046717715,0.09173249151478924,0.06118250602699837,0.024553757107695695,0.01419597284909302,0.24977633926784404,0.10543248329300559,0.11991069774369323,0.09106074958530885,0.07225135951077544,0.03474451057156247,-0.036168288177807706,0.10465330663930739,0.031440437714805425,-0.006587386004581197
2,-0.14666739418611796,-0.16769531761893464,-0.12836586922091264,-0.11151714900962639,-0.24145072302708093,0.008406894160597256,-0.1386094835865701,-0.11311372262477415,-0.1587681437248878,-0.15800539101325883,-0.16440216095384008,-0.18817079350520483,0.036372400294635066,-0.13540055255773453,-0.1351965739105726,-0.16250781579042217,-0.1646047905426099,-0.15614647244910507,-0.21893613023545677,-0.004110042026233995,-0.13150653600544138,-0.14944883811716914
3,0.08298082474398849,0.07096554080776807,0.08319224399592051,0.0314885300279828,-0.053602544473093205,0.22421240126400788,0.09547174454116569,0.15696283643841813,0.07334297685105495,0.058647312520483386,0.023714340190936545,0.060213414572696244,0.26027397192744695,0.1135559766881733,0.08465933861087271,0.054416427211451346,0.04487360714507349,0.03214749101199921,0.010349105991037444,0.20059695429820512,0.09542155009457853,0.05667319156158368
4,0.04361082296472962,0.02107427304449838,0.04317022641116641,-0.028077488623078573,-0.0629117033401535,0.25087940254743857,0.05790049087885962,0.0774100080507869,0.0419065162880321,0.026113000762202798,0.010523129120733499,0.017843742755434766,0.2814235743839262,0.05317622828843205,0.03506486519253116,-0.007585113614236083,-0.0018069338869416418,-0.010881666066779982,-0.05286725250545843,0.22177425306130472,0.044099731346008086,0.008226312074987474
5,0.04229663677357487,-0.44408387891946066,-0.10110704928504277,-0.08907005801912549,-0.13686789229558494,0.1665581788900683,0.022845564948092756,0.04488503884471351,0.12423582203554884,0.01515849603595365,-0.0006645379048404454,0.042376631853362046,0.21839865743850484,0.043386344330087034,-0.013153210485879141,0.08745930246454114,-0.010885835605623173,0.011892856785301165,-0.03171968464400321,0.15952582785368286,-0.0005452923963421563,-0.010911154407065915
6,-0.021474798021052566,-0.4278470776842852,-0.1701369429484656,-0.12436390658312602,-0.15767477729738566,0.0893406249527482,-0.06626616996405676,-0.0350275025784611,0.05840490721971059,-0.028871855866580476,-0.041730803584231535,0.012344860265469215,0.13855008227560583,-0.03843435435936915,-0.0705284928451756,0.046900033986623235,-0.03696255388771785,-0.05117527666968602,-0.07097055735668167,0.11870709950056102,-0.06573505884104103,-0.07413501753208618
7,0.004060479892674884,-0.3922311169293746,-0.10821435591090589,-0.10250541640671873,-0.14643711200498954,0.1240231258185871,-0.005343197753345796,0.05720701120349303,0.1022106004038843,-0.009809802206844576,-0.03484700724799772,0.02069122768022691,0.20708877888394395,0.03729982422533262,-0.0051199112403567115,0.10617231795009996,0.0022198109860596116,-0.026650041343260655,-0.07129266635561937,0.19006969332396717,0.0010654663481368676,-0.001970821310267268
8,-0.024186748803624147,-0.38840534965533324,-0.1312466920196813,-0.1263454919743241,-0.23309177048708407,0.11165459090986274,0.0016274678744636617,0.030693450742101502,0.11619762247704735,0.02962710485562514,0.0015766154012204492,0.0583788026921479,0.18850560564129548,0.0444143360496676,-0.005649730877873016,0.11480614587421112,0.0218533511065806,-0.02935609435649278,-0.060262197826793984,0.16704372456804584,0.016602657819779765,-0.007953121646537609
9,-0.019400358485328173,-0.29523538172612673,-0.12060550351005439,-0.10824720255788445,-0.22607200701271846,0.09022986565962565,-0.004732875977695894,0.06383771633156177,0.09333212314735251,0.013700606062359455,-0.010963490847087143,0.06219124136388343,0.16311553356917963,0.057478892267917914,0.025027371112058328,0.1449397638025005,0.04016167195581399,0.0033310369146721808,-0.009955106729106045,0.1581240632836669,0.03541709181613206,0.009796723790329365
10,0.013542140540464542,-0.39738611810847846,-0.08301301906704439,-0.09866939367187655,-0.11142239005131016,0.14100063458734735,-0.008682647714067016,0.021865814108551485,0.11809743550388951,-0.00044270214813380004,-0.02413738187436043,-0.010370282412080156,0.157534061880356,-0.0012248999420556572,-0.029594545586967502,0.09140367305522701,-0.016979390354088242,-0.05174705563692539,-0.1008344108710374,0.1613499752217311,-0.010604089665403715,-0.005516564799861401
11,-0.20756933107499564,-0.19073725527431673,-0.19219781007542736,-0.15151205348927554,-0.18772813163934987,-0.02654485608936641,-0.1830603204524902,-0.17095626894629012,-0.18764116639577821,-0.18976425739523872,-0.24484919349321854,-0.2537559846994807,-0.012173123339842551,-0.16414533490139915,-0.17006528986798786,-0.18645601717514193,-0.1901745728597971,-0.20908264539373922,-0.24122579448016634,-0.0015349254672698542,-0.16612196738031348,-0.16582307039882838
12,0.20213187314762515,0.2580220466223828,0.23983126538404909,0.22662317482953376,0.22802570013225543,0.42820873044358754,0.20933798245313162,0.2643717207973062,0.23916188794086235,0.23067199690936402,0.1462969927629696,0.15734237053428113,0.40826554153592265,0.18984551762682123,0.19367463102994242,0.2132973602292374,0.202472401887404,0.14553742562898098,0.1421336098862649,0.40422139689356706,0.18207086155631713,0.17448283186646463
13,0.05757757045612566,0.10166144353929618,0.12523220918104028,0.13200864304170712,0.09862239676240514,0.3360641599596379,0.1637695421773837,0.2136777357523716,0.17414896145372505,0.17972174783261363,0.11785363222673051,0.11979358220461522,0.3935341422273011,0.2400830520018964,0.23207487210995859,0.2535446506526755,0.2546472052106712,0.21276431694679077,0.1857783116221814,0.3901150995223239,0.20227362734662724,0.1373749861631246
14,0.10288534846798769,0.11079396747932813,0.08603951613854122,0.007608886388174474,0.0452143166939345,0.2697516372507507,0.1058944144905698,0.15111078475719197,0.07436021964264206,0.07386993429401723,-0.00982271641167165,0.006425217980585041,0.26412659439802066,0.09728843892172345,0.08235090378016219,0.07095502946127863,0.05722893732921941,0.0013396129322427175,0.013067859268111048,0.25206995580670144,0.0684881485572515,0.05612414420022316
15,0.11084063143070488,0.09138261293456096,0.07920224050052016,-0.0005519641769949901,-0.017448508684436703,0.2591136830546381,0.11284725800676676,0.17943905685147632,0.0682478552900474,0.06322815872351373,-0.015462169517749258,0.004226835012642649,0.2741424569645816,0.11142334551147726,0.09753838614515953,0.051792565954353,0.04488067924860495,-0.018862674647035615,-0.011725760374928673,0.25371365189724604,0.09749396287540368,0.0764593476711124
16,0.1202220521201014,0.09422767945903754,0.05635595334909249,-6.824011473693936e-05,-0.07360014728488384,0.26996357591089515,0.10907233621212953,0.18742323326878174,0.078430112294676,0.082184963772308,0.026980191649437657,0.13221738928673377,0.32211952483362194,0.14971027975512285,0.13569618949629048,0.0937080621541797,0.08486388095336994,0.04950605855235812,0.07973525066175968,0.3142980318637114,0.12815604490394894,0.10179085202502525
