origin,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
1,0.1062,0.1091,0.113,0.1091,0.0997,0.1067,0.1108,-0.047,-0.2062,-0.3652,-0.519,-0.6746,-0.8246,-1.0,-0.8728,-0.7468
2,-0.1003,-0.0999,-0.0969,-0.1012,-0.1097,-0.1018,-0.0974,-0.2234,-0.3491,-0.4762,-0.6028,-0.7331,-0.8572,-1.0,-0.8855,-0.7717
3,-0.0137,-0.0147,-0.0131,-0.0153,-0.0141,0.0032,0.0073,-0.1365,-0.2788,-0.4216,-0.5614,-0.7,-0.8403,-1.0,-0.8733,-0.7489
4,-0.085,-0.0852,-0.0782,-0.0806,-0.0734,-0.0582,-0.0519,-0.1861,-0.3188,-0.4521,-0.5827,-0.7154,-0.8485,-1.0,-0.8796,-0.7619
5,-0.0927,-0.1009,-0.0345,-0.0161,-0.0035,0.0216,0.0258,-0.116,-0.255,-0.4109,-0.5542,-0.6978,-0.8426,-1.0,-0.8767,-0.7519
6,-0.1034,-0.1116,-0.053,-0.0292,-0.0158,0.0115,0.02,-0.1157,-0.2522,-0.4055,-0.5511,-0.6955,-0.8425,-1.0,-0.8777,-0.7522
7,-0.0686,-0.0699,-0.0105,0.0045,0.0153,0.0389,0.0514,-0.0899,-0.2319,-0.3912,-0.5389,-0.686,-0.8348,-1.0,-0.8712,-0.7385
8,-0.1075,-0.106,-0.0477,-0.022,-0.0009,0.0449,0.0573,-0.0823,-0.221,-0.378,-0.5287,-0.6799,-0.8347,-1.0,-0.8767,-0.7518
9,-0.0824,-0.0838,-0.0417,-0.0202,-0.0033,0.0464,0.056,-0.0862,-0.2258,-0.3825,-0.5333,-0.6815,-0.8371,-1.0,-0.8768,-0.7524
10,-0.0586,-0.063,0.0045,0.0198,0.0344,0.0543,0.0588,-0.0838,-0.228,-0.3906,-0.5396,-0.6884,-0.8346,-1.0,-0.8678,-0.7324
11,-0.0218,-0.0167,-0.0165,-0.0138,-0.0284,-0.0389,-0.0358,-0.1679,-0.3033,-0.4404,-0.5771,-0.7134,-0.8483,-1.0,-0.874,-0.7453
12,0.2224,0.2271,0.2255,0.2282,0.2148,0.2022,0.2051,0.0379,-0.1339,-0.3088,-0.4846,-0.651,-0.8102,-1.0,-0.8414,-0.6769
13,0.2234,0.2368,0.246,0.2548,0.2551,0.2581,0.2723,0.0913,-0.0868,-0.2654,-0.4459,-0.6202,-0.788,-1.0,-0.8177,-0.6434
14,0.0121,0.0123,0.0077,0.009,0.0073,0.0021,0.0067,-0.1357,-0.2802,-0.4237,-0.5684,-0.7049,-0.8378,-1.0,-0.8678,-0.7333
15,0.0443,0.043,0.0398,0.0396,0.0371,0.0404,0.0439,-0.1044,-0.2537,-0.4031,-0.5516,-0.6919,-0.8306,-1.0,-0.8621,-0.7229
16,-0.0284,-0.0311,-0.0317,-0.0262,-0.0203,0.0097,0.0153,-0.1262,-0.2691,-0.4135,-0.5566,-0.6926,-0.8365,-1.0,-0.8647,-0.7283
