origin,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
1,0.0945545803818173,0.0856949584386757,0.1037892267547107,0.1554653973558795,0.00012150003948740995,0.19984917083540243,0.10426451964728134,0.11464160928224665,0.11302569267849605,0.07621740538928679,0.08946155415538026,0.04970566615434158,0.22811442258588466,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.10989573204668657,-0.11770031773699774
2,-0.12240604966329871,-0.13184147046201378,-0.08375920683628235,-0.028600055040224226,-0.18609804222417559,-0.03140946929433375,-0.11813475306372045,-0.11971111108651056,-0.11077378397897042,-0.11394442218709966,-0.08768142055217976,-0.13116366707629923,-0.0004474812760394409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1987709517218993,-0.20283818744790072
3,0.0030173617206286085,-0.010973217776652389,-0.006261159547985229,-0.038376682522011984,-0.13860813469314992,0.08861377686985428,0.0065435106356686035,-0.00363542003300088,-0.00023356560614717914,-0.021582690792366854,-0.02968313759425234,-0.017891850839171997,0.11780879503547181,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.11303758368514338,-0.12935716165582867
4,-0.07045799949439424,-0.11533582681204702,-0.06962623952926039,-0.1214187449609917,-0.17411025785907586,0.015970237626676598,-0.06034901052755626,-0.07145500197446752,-0.06644658297034878,-0.08623083090966344,-0.0709507353580281,-0.06823121145849498,0.06051522857406888,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1570751804247219,-0.1761834816108102
5,0.030504427316095706,-0.37358743134515204,-0.12539766132681462,-0.08329744879613576,-0.16172199138860888,0.07198722832895399,-0.007219142489404806,-0.026893566379728062,0.09100625165913123,0.003172901842961595,0.004834550383024494,0.014179388150107108,0.10153123855656987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.13704027663105234,-0.12596205989171982
6,0.012919067530196227,-0.3364948349135416,-0.14761444560188208,-0.08340980265527287,-0.16201259107050592,0.04318361325565423,-0.05036168375013317,-0.04436947734042773,0.07325439581148685,0.01907347614406607,0.010689896037115565,0.029306317737914256,0.10245414338474834,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.14382822515813298,-0.12164305536923326
7,0.0031239821332620377,-0.30141339774393516,-0.07044942184166425,-0.04576844731743135,-0.12386247456623478,0.06883098748686978,-0.01091441824351913,-0.006046932344148437,0.11487395381164611,0.034229391449575264,0.029663338751985124,0.041888073443169915,0.15611170247476913,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.09864998393585045,-0.07077174267084085
8,-0.03994083624430167,-0.30828989892254455,-0.1251202722398823,-0.08933533092135992,-0.23696266563818946,0.07020375349879915,-0.022716419624227213,-0.029550549537607385,0.09928772901850302,0.05474018582571816,0.0585546486427404,0.08377410992507639,0.15681162934509296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.13719078057378697,-0.12542044729318969
9,-0.01253343132582696,-0.1984609511668508,-0.09442873689995301,-0.08155849134791027,-0.25825544374303466,0.07283659917113217,-0.004441738513963789,-0.02261031332717056,0.09660281292988149,0.055680852996923935,0.03728555840229375,0.08956694616870498,0.14012927348549975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.13744809699396687,-0.12948373075796815
10,0.039503834840139085,-0.3341323995593426,-0.06430435866976947,-0.06075222334877961,-0.11528562494320638,0.12612829637386125,-0.001639466332525319,0.009301724749325446,0.13839115088019072,0.04273980428184987,0.0414855177875626,0.023540605406214388,0.15793939388052358,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.07493229872779805,-0.05179482676519165
